date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-02-26,14.0,14.78,14.05,13.82,468603.81,-1.3,-8.47,15.396,16.564,16.4,309647.12,261706.43,168991.49,8.58
2018-02-02,12.8,15.64,15.35,12.8,510425.75,1.13,7.95,16.136,16.779,16.476,256557.37,228093.79,147165.6,9.34
2018-02-01,14.22,14.22,14.22,14.22,86745.0,-1.58,-10.0,16.582,16.862,16.492,179215.31,182283.61,123006.66,1.59
2018-01-31,17.3,17.39,15.8,15.8,255423.0,-1.76,-10.02,17.264,17.069,16.576,184890.8,179926.89,120291.95,4.67
2018-01-30,17.36,17.98,17.56,17.1,227038.05,-0.19,-1.07,17.742,17.124,16.586,217543.26,158652.05,110567.14,4.76
2018-01-29,17.37,18.01,17.75,16.98,203155.05,0.17,0.97,17.732,17.023,16.508,213765.74,143076.61,105388.45,4.26
2018-01-26,17.62,17.78,17.58,17.33,123715.43,-0.05,-0.28,17.422,16.896,16.458,199630.2,135459.53,107711.63,2.59
2018-01-25,17.69,17.69,17.63,17.37,115122.47,-0.56,-3.08,17.142,16.789,16.384,185351.91,139524.71,109320.11,2.41
2018-01-24,17.51,18.42,18.19,17.38,418685.28,0.68,3.88,16.874,16.623,16.275,174962.98,131985.7,108637.14,8.78
2018-01-23,16.21,17.72,17.51,16.21,208150.48,1.31,8.09,16.506,16.394,16.17,99760.85,93646.67,92180.49,4.36
2018-01-19,16.24,16.34,16.2,15.81,132477.34,0.02,0.12,16.314,16.235,16.105,72387.48,76276.55,88465.89,2.78
2018-01-18,16.21,16.4,16.18,16.17,52324.0,-0.11,-0.68,16.37,16.172,16.079,71288.86,66237.41,85984.88,1.1
2018-01-17,16.36,16.36,16.29,15.96,63177.8,-0.06,-0.37,16.436,16.121,16.058,93697.51,63729.71,87502.63,1.32
2018-01-16,16.53,16.65,16.35,16.31,42674.63,-0.2,-1.21,16.372,16.082,16.044,89008.41,60657.01,89602.52,0.89
2018-01-15,16.46,16.6,16.55,16.1,71283.63,0.07,0.42,16.282,16.047,16.015,87532.49,62482.22,93245.62,1.49
2018-01-12,16.46,16.65,16.48,16.27,126984.25,-0.03,-0.18,16.156,15.992,15.994,80165.62,67700.28,96602.23,2.66
2018-01-11,15.97,16.88,16.51,15.88,164367.23,0.54,3.38,15.974,16.02,15.934,61185.97,79963.73,95122.53,3.45
2018-01-10,15.95,16.14,15.97,15.82,39732.33,0.07,0.44,15.806,15.979,15.821,33761.92,79115.5,87714.77,0.83
2018-01-09,15.91,16.07,15.9,15.61,35295.0,-0.02,-0.13,15.792,15.926,15.737,32305.61,85288.59,87067.45,0.74
2018-01-08,15.43,15.97,15.92,15.42,34449.27,0.35,2.25,15.812,15.945,15.658,37431.95,90714.31,87128.5,0.72
2018-01-05,15.66,15.86,15.57,15.54,32086.0,-0.1,-0.64,15.828,15.974,15.58,55234.95,100655.24,87796.35,0.67
2018-01-04,15.8,15.9,15.67,15.66,27247.0,-0.23,-1.45,16.066,15.986,15.502,98741.48,105732.34,88089.69,0.57
2018-01-03,15.9,16.17,15.9,15.87,32450.8,-0.1,-0.62,16.152,15.995,15.401,124469.08,111275.55,87811.29,0.68
2018-01-02,15.99,16.16,16.0,15.68,60926.66,0.0,0.0,16.06,16.005,15.287,138271.56,118548.03,87873.1,1.28
2017-12-29,16.5,16.5,16.0,16.0,123464.3,-0.76,-4.54,16.078,15.982,15.165,143996.66,124009.03,87287.99,2.59
2017-12-28,16.11,16.99,16.76,15.61,249618.66,0.66,4.1,16.12,15.996,15.025,146075.53,125504.18,82169.78,5.23
2017-12-27,15.55,16.1,16.1,15.23,155885.0,0.66,4.28,15.906,15.848,14.846,112723.2,110281.33,70668.95,3.27
2017-12-26,15.75,15.92,15.44,14.67,101463.17,-0.65,-4.04,15.838,15.662,14.703,98082.02,96314.04,63807.1,2.13
2017-12-25,16.26,16.49,16.09,16.02,89552.19,-0.12,-0.74,15.95,15.547,14.592,98824.51,88846.32,59679.14,1.88
2017-12-22,15.75,16.38,16.21,15.48,133858.62,0.52,3.31,15.886,15.371,14.449,104021.39,83542.69,56801.8,2.81
2017-12-21,15.72,16.09,15.69,15.51,82857.0,-0.07,-0.44,15.872,15.185,14.295,104932.83,74937.47,52188.66,1.74
2017-12-20,16.01,16.2,15.76,15.73,82679.11,-0.24,-1.5,15.79,15.017,14.16,107839.47,70447.04,50388.21,1.73
2017-12-19,15.85,16.35,16.0,15.45,105175.61,0.23,1.46,15.486,14.806,14.025,94546.06,64347.03,48480.61,2.21
2017-12-18,16.1,16.15,15.77,15.65,115536.59,-0.37,-2.29,15.144,14.569,13.89,78868.14,57198.17,46941.3,2.42
2017-12-15,15.1,16.14,16.14,15.07,138415.84,0.86,5.63,14.856,14.348,13.756,63064.0,50566.96,44845.85,2.9
2017-12-14,14.17,15.53,15.28,14.09,97390.2,1.04,7.3,14.498,14.053,13.574,44942.11,38835.38,40780.06,2.04
2017-12-13,14.16,14.38,14.24,14.16,16212.07,-0.05,-0.35,14.244,13.844,13.449,33054.61,31056.56,38912.4,0.34
2017-12-12,14.3,14.37,14.29,14.02,26785.99,-0.04,-0.28,14.126,13.743,13.372,34147.99,31300.16,40841.99,0.56
2017-12-11,14.33,14.52,14.33,14.21,36515.92,-0.02,-0.14,13.994,13.637,13.296,35528.2,30511.96,44255.15,0.77
2017-12-08,13.92,14.42,14.35,13.83,47806.36,0.34,2.43,13.84,13.527,13.236,38069.92,30060.9,53798.12,1.0
2017-12-07,13.65,14.1,14.01,13.57,37952.69,0.36,2.64,13.608,13.404,13.159,32728.65,29439.86,54785.47,0.8
2017-12-06,13.57,13.7,13.65,13.5,21679.0,0.02,0.15,13.444,13.303,13.04,29058.51,30329.39,60627.38,0.45
2017-12-05,13.53,13.69,13.63,13.4,33687.03,0.07,0.52,13.36,13.243,12.952,28452.32,32614.19,70649.75,0.71
2017-12-04,13.08,13.78,13.56,13.08,49224.54,0.37,2.81,13.28,13.21,12.918,25495.72,36684.43,70410.85,1.03
2017-12-01,13.13,13.28,13.19,13.05,21100.0,0.0,0.0,13.214,13.164,12.893,22051.87,39124.73,70187.39,0.44
2017-11-30,13.3,13.3,13.19,13.11,19602.0,-0.04,-0.3,13.2,13.095,12.893,26151.06,42724.73,72359.2,0.41
2017-11-29,13.23,13.31,13.23,13.13,18648.03,0.0,0.0,13.162,13.053,12.922,31600.26,46768.24,73119.6,0.39
2017-11-28,13.23,13.29,13.23,13.12,18904.03,0.0,0.0,13.126,13.0,12.957,36776.06,50383.81,74319.59,0.4
2017-11-27,13.05,13.32,13.23,13.0,32005.27,0.11,0.84,13.14,12.954,12.995,47873.15,57998.34,75197.18,0.67
2017-11-24,13.0,13.22,13.12,12.84,41595.99,0.12,0.92,13.114,12.945,13.042,56197.59,77535.34,74183.25,0.87
2017-11-23,12.91,13.26,13.0,12.82,46848.0,-0.05,-0.38,12.99,12.913,13.096,59298.4,80131.09,73012.37,0.98
2017-11-22,13.25,13.28,13.05,13.04,44527.0,-0.25,-1.88,12.944,12.777,13.156,61936.22,90925.36,71241.64,0.93
2017-11-21,13.0,13.3,13.3,12.84,74389.47,0.2,1.53,12.874,12.66,13.214,63991.57,108685.31,70094.56,1.56
2017-11-20,12.48,13.17,13.1,12.01,73627.48,0.6,4.8,12.768,12.625,13.261,68123.54,104137.26,67437.88,1.54
2017-11-17,12.76,12.76,12.5,12.41,57100.04,-0.27,-2.11,12.776,12.622,13.328,98873.09,101250.05,66155.87,1.2
2017-11-16,12.51,12.85,12.77,12.48,60037.09,0.07,0.55,12.836,12.69,13.413,100963.77,101993.66,65044.57,1.26
2017-11-15,12.68,12.77,12.7,12.45,54803.77,-0.07,-0.55,12.61,12.79,13.492,119914.51,99470.95,62807.81,1.15
2017-11-14,13.0,13.01,12.77,12.63,95049.32,-0.37,-2.82,12.446,12.914,13.576,153379.04,98255.36,61974.19,1.99
2017-11-13,12.93,13.18,13.14,12.21,227375.23,0.34,2.66,12.482,13.036,13.659,140150.98,92396.01,60163.77,4.77
2017-11-10,12.8,12.8,12.8,12.8,67553.46,1.16,9.97,12.468,13.138,13.721,103627.01,70831.15,50283.73,1.42
2017-11-03,11.56,11.65,11.64,11.0,154790.78,-0.24,-2.02,12.544,13.278,13.804,103023.55,65893.66,48031.35,3.25
2017-11-02,13.0,13.02,11.88,11.66,222126.41,-1.07,-8.26,12.97,13.535,13.937,79027.39,51557.91,41385.41,4.66
2017-11-01,13.01,13.09,12.95,12.88,28909.0,-0.12,-0.92,13.382,13.768,14.062,43131.68,31503.82,32488.95,0.61
2017-10-31,13.18,13.26,13.07,12.82,44755.4,-0.11,-0.83,13.59,13.897,14.145,44641.05,30738.51,32562.47,0.94
2017-10-30,13.78,13.87,13.18,13.0,64536.15,-0.59,-4.29,13.808,14.033,14.22,38035.29,31061.7,32228.31,1.35
2017-10-27,13.94,13.99,13.77,13.77,34810.0,-0.17,-1.22,14.012,14.135,14.297,28763.77,28095.48,31720.8,0.73
2017-10-26,14.0,14.13,13.94,13.9,42647.84,-0.05,-0.36,14.1,14.194,14.335,24088.43,26144.67,32532.93,0.89
