,date,open,close,high,low,volume,code
30,2015-04-08,9.562,9.562,9.562,9.562,863.0,002721
31,2015-04-09,10.518,10.518,10.518,10.518,2043.0,002721
32,2015-04-10,11.558,11.015,11.558,10.591,154853.0,002721
33,2015-04-13,11.028,12.117,12.117,10.929,119649.0,002721
34,2015-04-14,11.915,11.697,12.008,11.253,103665.0,002721
35,2015-04-15,11.528,11.849,12.742,11.366,64433.0,002721
36,2015-04-16,11.455,11.382,11.568,10.687,65527.0,002721
37,2015-04-17,11.273,11.419,11.915,11.217,55962.0,002721
38,2015-04-20,11.435,11.409,11.965,11.352,48844.0,002721
39,2015-04-21,11.419,12.551,12.551,11.372,85785.0,002721
40,2015-04-22,12.977,13.537,13.805,12.683,72280.0,002721
41,2015-04-23,13.166,14.89,14.89,13.15,79427.0,002721
42,2015-04-24,14.89,16.38,16.38,14.89,73642.0,002721
43,2015-04-27,16.919,18.018,18.018,16.919,39466.0,002721
44,2015-04-28,19.524,19.819,19.819,19.524,21814.0,002721
45,2015-04-29,20.236,18.534,21.51,17.873,83958.0,002721
46,2015-04-30,18.697,17.307,19.124,17.207,71069.0,002721
47,2015-05-04,17.277,17.459,17.932,16.549,83350.0,002721
48,2015-05-05,17.211,16.019,17.532,15.784,83731.0,002721
49,2015-05-12,17.622,17.622,17.622,17.622,3179.0,002721
50,2015-05-13,18.209,19.383,19.383,17.462,122532.0,002721
51,2015-05-14,19.237,19.237,21.194,18.534,92178.0,002721
52,2015-05-15,18.607,18.079,19.071,17.366,50346.0,002721
53,2015-05-18,17.874,19.071,19.37,17.811,53490.0,002721
54,2015-05-19,19.071,20.978,20.978,18.799,69223.0,002721
55,2015-05-20,21.86,23.078,23.078,21.393,54592.0,002721
56,2015-05-21,24.258,23.243,24.544,22.255,70690.0,002721
57,2015-05-22,23.217,22.703,23.874,22.222,40733.0,002721
58,2015-05-25,22.537,22.686,23.061,21.393,41840.0,002721
59,2015-05-26,22.922,23.383,24.162,22.922,37504.0,002721
60,2015-05-27,23.549,25.721,25.721,23.167,50627.0,002721
61,2015-05-28,25.721,23.217,27.197,23.217,64069.0,002721
62,2015-05-29,23.048,23.774,24.441,20.968,48149.0,002721
63,2015-06-04,26.152,26.152,26.152,23.224,32495.0,002721
64,2015-06-05,28.192,27.684,28.192,25.492,62527.0,002721
65,2015-06-08,27.854,27.19,27.86,25.31,45217.0,002721
66,2015-06-09,26.633,26.557,26.799,25.874,35203.0,002721
67,2015-06-10,26.557,27.893,28.182,25.542,42927.0,002721
68,2015-06-11,28.049,28.149,29.021,27.86,24217.0,002721
69,2015-06-12,27.751,29.131,29.187,27.529,37946.0,002721
70,2015-06-15,29.711,29.349,31.84,29.349,39885.0,002721
71,2015-06-16,28.49,27.525,28.855,26.699,30607.0,002721
72,2015-06-17,27.273,27.585,27.827,26.534,20519.0,002721
73,2015-06-18,27.588,27.529,28.922,27.416,22341.0,002721
74,2015-06-19,27.031,26.587,27.482,26.053,20967.0,002721
75,2015-06-23,26.603,27.89,28.092,24.215,29334.0,002721
76,2015-06-24,27.893,28.461,28.719,27.539,22988.0,002721
77,2015-06-25,28.461,30.414,31.253,27.86,59070.0,002721
78,2015-06-26,29.197,27.373,30.368,27.373,42497.0,002721
79,2015-06-29,28.524,24.636,28.524,24.636,58762.0,002721
80,2015-06-30,23.88,23.22,24.636,22.172,49059.0,002721
81,2015-07-01,23.217,21.061,24.544,21.061,48459.0,002721
82,2015-07-02,21.625,23.134,23.167,19.565,96004.0,002721
83,2015-07-03,24.212,22.122,25.107,20.822,118203.0,002721
84,2015-07-06,24.212,19.91,24.212,19.91,103370.0,002721
85,2015-10-21,19.116,21.902,21.902,19.116,813813.0,002721
86,2015-10-22,20.897,24.092,24.092,20.4,397369.0,002721
87,2015-10-23,26.5,26.5,26.5,25.534,135884.0,002721
88,2015-10-26,27.863,26.818,29.047,24.231,723469.0,002721
89,2015-10-27,25.773,25.594,26.42,24.758,323823.0,002721
90,2015-10-28,24.878,23.554,25.375,23.037,301589.0,002721
91,2015-10-29,23.335,25.176,25.873,22.887,346143.0,002721
92,2015-10-30,25.176,23.644,25.176,23.385,247720.0,002721
93,2015-11-02,22.191,21.275,22.549,21.275,247773.0,002721
94,2015-11-03,20.798,20.022,21.494,19.683,177723.0,002721
95,2015-11-04,20.28,22.022,22.022,20.28,216758.0,002721
96,2015-11-05,22.091,22.052,22.907,21.902,236224.0,002721
97,2015-11-06,22.042,22.569,23.226,21.504,222093.0,002721
98,2015-11-09,22.101,22.619,23.087,21.693,234675.0,002721
99,2015-11-10,22.131,22.967,23.455,22.131,218810.0,002721
100,2015-11-11,22.997,23.335,23.674,22.967,198697.0,002721
101,2015-11-12,23.803,25.674,25.674,22.967,344922.0,002721
102,2015-11-13,24.868,27.007,27.465,24.679,470060.0,002721
103,2015-11-16,26.868,26.629,26.868,25.873,235997.0,002721
104,2015-11-17,26.908,25.485,27.176,25.465,246845.0,002721
105,2015-11-18,24.977,24.689,26.062,24.38,201400.0,002721
106,2015-11-19,24.589,25.644,25.952,24.301,198933.0,002721
107,2015-11-20,25.773,28.211,28.211,25.226,443471.0,002721
108,2015-12-02,25.773,25.395,26.868,25.395,99837.0,002721
109,2015-12-03,23.783,25.107,25.753,23.116,266334.0,002721
110,2015-12-04,24.888,25.704,26.549,24.679,253630.0,002721
111,2015-12-07,25.724,26.251,26.42,24.48,227689.0,002721
112,2015-12-08,25.873,28.062,28.878,25.485,418331.0,002721
113,2015-12-09,27.764,29.196,30.828,26.619,448787.0,002721
114,2015-12-10,28.888,32.112,32.112,28.609,540633.0,002721
115,2015-12-11,32.112,29.654,33.167,29.604,580774.0,002721
116,2015-12-14,28.092,28.997,29.853,28.082,262234.0,002721
117,2015-12-15,29.256,30.938,31.714,28.46,273894.0,002721
118,2015-12-16,31.445,30.928,32.391,30.45,298190.0,002721
119,2015-12-17,30.43,31.286,32.033,30.43,248994.0,002721
120,2015-12-18,30.848,33.247,33.824,30.848,378473.0,002721
121,2015-12-21,32.689,35.456,36.321,32.341,359404.0,002721
122,2015-12-22,35.824,36.003,36.272,34.232,316386.0,002721
123,2015-12-23,35.316,34.361,36.789,34.331,264930.0,002721
124,2015-12-24,33.903,34.51,35.227,33.854,188571.0,002721
125,2015-12-25,34.391,33.237,34.829,33.038,211805.0,002721
126,2015-12-28,33.416,31.475,33.744,30.938,250944.0,002721
127,2015-12-29,31.843,32.202,32.52,31.435,153983.0,002721
128,2015-12-30,32.202,31.545,32.202,31.067,155564.0,002721
129,2015-12-31,31.595,32.6,33.436,31.495,193198.0,002721
