date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-02-26,1.32,1.35,1.35,1.31,287789.0,0.03,2.27,1.324,1.295,1.363,243361.0,431814.23,452930.87,0.5
2018-02-23,1.32,1.32,1.32,1.3,225542.5,0.0,0.0,1.314,1.285,1.373,258889.66,484526.32,451706.38,0.4
2018-02-22,1.33,1.33,1.33,1.31,239768.33,0.02,1.53,1.302,1.286,1.383,317385.96,517363.72,464545.83,0.42
2018-02-14,1.3,1.32,1.32,1.29,172772.27,0.02,1.54,1.298,1.289,1.394,435676.22,562111.15,484075.23,0.3
2018-02-13,1.32,1.33,1.3,1.29,290932.91,-0.01,-0.76,1.286,1.3,1.401,521213.26,587247.8,499087.13,0.51
2018-02-12,1.28,1.32,1.3,1.27,365432.28,0.03,2.36,1.266,1.317,1.41,620267.46,605598.51,503347.81,0.64
2018-02-09,1.28,1.29,1.26,1.25,518024.0,-0.05,-3.82,1.256,1.332,1.419,710162.98,603633.19,520887.05,0.91
2018-02-08,1.27,1.32,1.31,1.25,831219.62,0.05,3.97,1.27,1.353,1.433,717341.48,577649.39,529616.45,1.46
2018-02-07,1.22,1.26,1.26,1.19,600457.5,0.06,5.0,1.28,1.369,1.446,688546.09,566334.85,539913.09,1.05
2018-02-06,1.21,1.25,1.2,1.19,786203.88,-0.05,-4.0,1.314,1.397,1.464,653282.33,527969.4,524330.41,1.38
2018-02-05,1.3,1.3,1.25,1.25,814909.88,-0.07,-5.3,1.368,1.431,1.487,590929.56,474047.51,495316.68,1.43
2018-02-02,1.31,1.33,1.33,1.29,553916.5,-0.03,-2.21,1.408,1.461,1.508,497103.41,418886.45,468163.48,0.97
2018-02-01,1.42,1.43,1.36,1.36,687242.69,-0.07,-4.89,1.436,1.48,1.524,437957.31,411727.95,455818.59,1.2
2018-01-31,1.46,1.46,1.43,1.42,424138.69,-0.04,-2.72,1.458,1.498,1.539,444123.61,406039.31,433241.61,0.74
2018-01-30,1.47,1.5,1.47,1.45,474440.06,0.02,1.38,1.48,1.502,1.55,402656.48,410926.47,424320.85,0.83
2018-01-29,1.46,1.48,1.45,1.43,345779.09,-0.02,-1.36,1.494,1.503,1.558,357165.46,401097.11,409603.42,0.61
2018-01-26,1.47,1.48,1.47,1.46,258186.02,0.0,0.0,1.514,1.505,1.567,340669.5,438140.9,400820.71,0.45
2018-01-25,1.5,1.5,1.47,1.45,718074.19,-0.06,-3.92,1.524,1.513,1.575,385498.59,481583.5,399884.36,1.26
2018-01-24,1.54,1.54,1.54,1.52,216803.02,0.0,0.0,1.538,1.522,1.583,367955.02,513491.33,387034.15,0.38
2018-01-23,1.53,1.55,1.54,1.52,246985.0,0.0,0.0,1.524,1.531,1.591,419196.46,520691.43,385233.0,0.43
2018-01-22,1.52,1.56,1.55,1.52,263299.25,0.03,1.97,1.512,1.543,1.599,445028.76,516585.84,384702.58,0.46
2018-01-19,1.55,1.58,1.52,1.51,482331.5,-0.02,-1.3,1.496,1.554,1.606,535612.31,517440.52,386361.6,0.85
2018-01-18,1.46,1.54,1.54,1.45,630356.31,0.07,4.76,1.502,1.568,1.614,577668.41,499909.23,369538.8,1.1
2018-01-17,1.47,1.48,1.47,1.42,473010.25,-0.01,-0.68,1.506,1.58,1.621,659027.64,460443.9,346837.68,0.83
2018-01-16,1.46,1.49,1.48,1.45,376146.5,0.01,0.68,1.538,1.597,1.633,622186.39,437715.23,336373.12,0.66
2018-01-15,1.54,1.54,1.47,1.47,716217.0,-0.08,-5.16,1.574,1.612,1.645,588142.92,418109.72,341939.71,1.25
2018-01-12,1.51,1.6,1.55,1.51,692612.0,-0.01,-0.64,1.612,1.628,1.656,499268.72,363500.52,319835.71,1.21
2018-01-09,1.61,1.61,1.56,1.56,1037152.44,-0.08,-4.88,1.634,1.637,1.663,422150.05,318185.22,297634.05,1.82
2018-01-08,1.65,1.66,1.63,1.63,288804.0,-0.02,-1.21,1.654,1.644,1.67,261860.16,260576.98,258593.76,0.51
2018-01-05,1.66,1.66,1.66,1.64,205929.17,0.0,0.0,1.656,1.65,1.674,253244.07,249774.58,258783.52,0.36
2018-01-04,1.67,1.67,1.66,1.65,271846.0,-0.01,-0.6,1.65,1.654,1.675,248076.52,252819.31,261933.48,0.48
2018-01-03,1.65,1.68,1.66,1.64,307018.62,0.01,0.61,1.644,1.657,1.676,227732.32,255282.67,262098.29,0.54
2018-01-02,1.64,1.66,1.66,1.63,235703.0,0.02,1.22,1.64,1.66,1.676,214220.39,239168.36,266167.94,0.42
2017-12-29,1.62,1.65,1.64,1.61,245723.56,0.02,1.24,1.634,1.662,1.679,259293.8,233231.46,278084.0,0.43
2017-12-28,1.62,1.64,1.63,1.61,180091.41,0.01,0.62,1.644,1.668,1.681,246305.09,235031.01,274475.12,0.32
2017-12-27,1.63,1.64,1.63,1.62,170125.0,-0.01,-0.61,1.658,1.677,1.683,257562.11,265769.69,278886.2,0.3
2017-12-26,1.61,1.64,1.64,1.6,239459.0,0.02,1.24,1.67,1.684,1.686,282833.03,276170.89,291658.5,0.42
2017-12-25,1.69,1.69,1.63,1.62,461070.03,-0.06,-3.55,1.68,1.688,1.688,264116.33,277082.87,305438.61,0.81
2017-12-22,1.69,1.7,1.69,1.68,180780.0,0.0,0.0,1.69,1.695,1.687,207169.12,256610.54,307975.91,0.32
2017-12-21,1.69,1.7,1.7,1.68,236376.5,0.01,0.59,1.692,1.697,1.682,223756.92,267792.47,312262.71,0.42
2017-12-20,1.68,1.72,1.69,1.67,296479.62,0.01,0.59,1.696,1.696,1.676,273977.27,271047.64,319441.73,0.52
2017-12-19,1.68,1.69,1.69,1.67,145875.5,0.0,0.0,1.698,1.695,1.672,269508.76,268913.91,319846.16,0.26
2017-12-18,1.69,1.7,1.68,1.67,176334.0,-0.01,-0.59,1.696,1.692,1.669,290049.42,293167.53,330988.84,0.31
2017-12-15,1.7,1.71,1.7,1.68,263719.0,-0.01,-0.58,1.7,1.696,1.666,306051.96,322936.54,346769.34,0.47
2017-12-14,1.69,1.74,1.72,1.68,487478.25,0.02,1.18,1.702,1.693,1.663,311828.01,313919.24,369160.46,0.86
2017-12-13,1.68,1.7,1.7,1.67,274137.03,0.02,1.19,1.696,1.688,1.663,268118.01,292002.72,356884.5,0.48
2017-12-12,1.7,1.71,1.68,1.67,248578.8,-0.03,-1.75,1.692,1.687,1.665,268319.06,307146.12,356418.09,0.44
2017-12-11,1.69,1.72,1.7,1.69,256346.73,-0.01,-0.58,1.688,1.687,1.669,296285.64,333794.35,356723.08,0.45
2017-12-08,1.67,1.71,1.71,1.67,292599.25,0.03,1.79,1.692,1.679,1.672,339821.13,359341.28,358118.79,0.52
2017-12-07,1.68,1.71,1.69,1.67,268928.25,0.01,0.59,1.684,1.667,1.675,316010.48,356732.95,358553.38,0.47
2017-12-06,1.65,1.68,1.68,1.63,275142.25,0.03,1.82,1.68,1.655,1.68,315887.43,367835.83,356006.22,0.49
2017-12-05,1.7,1.72,1.66,1.64,388411.72,-0.05,-2.92,1.682,1.648,1.686,345973.18,370778.42,359070.86,0.69
2017-12-04,1.67,1.74,1.72,1.66,474024.16,0.05,2.99,1.686,1.645,1.693,371303.06,368810.15,358048.25,0.84
2017-12-01,1.65,1.68,1.67,1.65,173546.0,0.01,0.6,1.666,1.635,1.695,378861.42,370602.13,345951.29,0.31
2017-11-30,1.68,1.69,1.67,1.65,268313.0,-0.02,-1.18,1.65,1.632,1.7,397455.42,424401.68,351270.04,0.47
2017-11-29,1.69,1.72,1.69,1.66,425571.0,0.0,0.0,1.63,1.637,1.705,419784.22,421766.28,351698.14,0.75
2017-11-28,1.62,1.69,1.68,1.61,515061.12,0.06,3.7,1.614,1.642,1.709,395583.66,405690.07,341860.68,0.91
